name,filename,relevance,link
EBA Guidelines on outsourcing arrangements,EBA_Guidelines_on_outsourcing_arrangements.pdf,General Fin.Services,https://www.eba.europa.eu/sites/default/documents/files/documents/10180/2551996/38c80601-f5d7-4855-8ba3-702423665479/EBA%20revised%20Guidelines%20on%20outsourcing%20arrangements.pdf?retry=1
EBA Guidelins on major incident reporting under PSD2 ver 2017,EBA_Guidelins_on_major_incident_reporting_under_PSD2_ver_2017.pdf,Payments/e-money,https://www.eba.europa.eu/sites/default/documents/files/documents/10180/1914076/3902c3db-c86d-40b7-b875-dd50eec87657/Guidelines%20on%20incident%20reporting%20under%20PSD2%20%28EBA-GL-2017-10%29.pdf?retry=1
FCA Approach: Payment Services and Electronic Money ,FCA_Approach__Payment_Services_and_Electronic_Money.pdf,Payments/e-money,https://www.fca.org.uk/publication/finalised-guidance/fca-approach-payment-services-electronic-money-2017.pdf
FCA Consumer Duty webinar – Payments and e-money April 2023,FCA_Consumer_Duty_webinar__Payments_and_e_money_April_2023consumer_duty_webinar_payments_e_money_2023.pdf,Payments/e-money,https://www.fca.org.uk/publication/transcripts/consumer-duty-webinar-payments-e-money-2023.pdf
FCA Coronavirus and safeguarding customers’ funds: additional guidance for payment and e-money firms,FCA_Coronavirus_and_safeguarding_customers_funds__additional_guidance_for_payment_and_e_money_firms.pdf,Payments/e-money,https://www.fca.org.uk/publication/finalised-guidance/coronavirus-safeguarding-customers-funds-additional-guidance-payment-e-money-firms.pdf
FCA Enforcement Guide (EG),FCA_Enforcement_Guide_EG.pdf,General Fin.Services,https://www.handbook.fca.org.uk/handbook/EG.pdf
FCA financial crime guide (FCG),FCA_financial_crime_guide_FCG.pdf,AML/CTF,https://www.handbook.fca.org.uk/handbook/FCG.pdf
FCA Guidance on adequate financial resources,FCA_Guidance_on_adequate_financial_resources.pdf,General Fin.Services,https://www.fca.org.uk/publication/finalised-guidance/fg20-1.pdf
FCA Wind-down planning guide,FCA_Wind_down_planning_guide.pdf,General Fin.Services,https://www.handbook.fca.org.uk/handbook/WDPG.pdf
Finalised Guidance FG22-5 Final non-Handbook Guidance for firms on the Consumer Duty July 2022,Finalised_Guidance_FG22_5_Final_non_Handbook_Guidance_for_firms_on_the_Consumer_Duty_July_2022.pdf,"General Fin.Services,Payments/e-money",https://www.fca.org.uk/publication/finalised-guidance/fg22-5.pdf
Finalised non-handbook guidance on Cryptoasset Financial Promotions FG23-3,Finalised_non_handbook_guidance_on_Cryptoasset_Financial_Promotions_FG23_3.pdf,Crypto,https://www.fca.org.uk/publication/finalised-guidance/fg23-3.pdf
Financial promotion rules for cryptoassets Policy Statement PS23-6,Financial_promotion_rules_for_cryptoassets_Policy_Statement_PS23_6.pdf,Crypto,https://www.fca.org.uk/publication/policy/ps23-6.pdf
Financial Services and Markets Act 2000,Financial_Services_and_Markets_Act_2000.pdf,"Crypto,General Fin.Services",https://www.legislation.gov.uk/ukpga/2000/8/contents
Guidance on Cryptoassets Feedback and Final Guidance to CP 19/3 Policy Statement PS19-22,Guidance_on_Cryptoassets_Feedback_and_Final_Guidance_to_CP_19_3_Policy_Statement_PS19_22.pdf,Crypto,https://www.fca.org.uk/publication/policy/ps19-22.pdf
Introducing a gateway for firms who approve financial promotions Policy Statement PS23-13,Introducing_a_gateway_for_firms_who_approve_financial_promotions_Policy_Statement_PS23_13.pdf,"General Fin.Services,Crypto",https://www.fca.org.uk/publication/policy/ps23-13.pdf
JMLSG Guidance Part I June 2023 version July revision1,JMLSG_Guidance_Part_I_June_2023_version_July_revision1.pdf,AML/CTF,https://www.jmlsg.org.uk/wp-content/uploads/2023/10/JMLSG-Guidance-Part-I_June-2023-version_July-revision1.pdf
JMLSG Guidance Part II June 2023 revised Sept 2023,JMLSG_Guidance_Part_II_June_2023_revised_Sept_2023.pdf,AML/CTF,https://www.jmlsg.org.uk/wp-content/uploads/2023/09/JMLSG-Guidance-Part-II_June-2023_revised-Sept-2023.pdf
Principles for Business (PRIN) Chapters 1-3,Principles_for_Business_PRIN_Chapters_1_3.pdf,"General Fin.Services,Payments/e-money",https://www.handbook.fca.org.uk/handbook/PRIN.pdf
SUP Chapter 15.14  Notifications under the Payment Services Regulations ,SUP_Chapter_15_14__Notifications_under_the_Payment_Services_Regulations_.pdf,Payments/e-money,https://www.handbook.fca.org.uk/handbook/SUP/15/14.pdf
The Electronic Money Regulations 2011,The_Electronic_Money_Regulations_2011.pdf,Payments/e-money,https://www.legislation.gov.uk/uksi/2011/99/data.pdf
The Financial Services and Markets Act 2000 (Financial Promotion) Order 2005,The_Financial_Services_and_Markets_Act_2000_Financial_Promotion_Order_2005.pdf,"General Fin.Services,Crypto",https://www.legislation.gov.uk/uksi/2005/1529
"The Money Laundering, Terrorist Financing and Transfer of Funds (Information on the Payer) Regulations 2017",The_Money_Laundering__Terrorist_Financing_and_Transfer_of_Funds_Information_on_the_Payer_Regulations_2017.pdf,AML/CTF,https://www.legislation.gov.uk/uksi/2017/692
The Payment and Electronic Money Institution Insolvency Regulations 2021,The_Payment_and_Electronic_Money_Institution_Insolvency_Regulations_2021.pdf,Payments/e-money,https://www.legislation.gov.uk/uksi/2021/716/made/data.pdf
The Payment Services Regulations 2017,The_Payment_Services_Regulations_2017.pdf,Payments/e-money,https://www.legislation.gov.uk/uksi/2017/752/data.pdf
The Perimeter Guidance manual (PERG) Chapter 2 Authorisation and regulated activities,The_Perimeter_Guidance_manual_PERG_Chapter_2_Authorisation_and_regulated_activities.pdf,General Fin.Services,https://www.handbook.fca.org.uk/handbook/PERG/2.pdf
The Perimeter Guidance manual (PERG) Chapter 3A. Guidance on the scope of the Electronic Money Regulations 2011,The_Perimeter_Guidance_manual_PERG_Chapter_3A_Guidance_on_the_scope_of_the_Electronic_Money_Regulations_2011.pdf,Payments/e-money,https://www.handbook.fca.org.uk/handbook/PERG/3A.pdf
The Perimeter Guidance manual (PERG) Chapter 8  Financial promotion and related activities,The_Perimeter_Guidance_manual_PERG_Chapter_8__Financial_promotion_and_related_activities.pdf,"Crypto,Investment",https://www.handbook.fca.org.uk/handbook/PERG/8.pdf
The Perimeter Guidance manual (PERG) Chapter 15 Guidance on the scope of Payment Services Regulations 2017,The_Perimeter_Guidance_manual_PERG_Chapter_15_Guidance_on_the_scope_of_Payment_Services_Regulations_2017.pdf,Payments/e-money,https://www.handbook.fca.org.uk/handbook/PERG/15.pdf
Unfair contract terms and Consumer Notices Regulatory guide,Unfair_contract_terms_and_Consumer_Notices_Regulatory_guide.pdf,General Fin.Services,https://www.handbook.fca.org.uk/handbook/UNFCOG/1.pdf
